Words;Count;Frequency
the;73;4.38966%
and;54;3.24714%
of;53;3.18701%
a;49;2.94648%
i;45;2.70595%
to;41;2.46542%
his;36;2.16476%
you;33;1.98437%
it;27;1.62357%
in;25;1.50331%
he;23;1.38304%
that;22;1.32291%
was;21;1.26278%
my;19;1.14251%
is;17;1.02225%
have;16;0.962117%
with;15;0.901984%
which;14;0.841852%
not;13;0.78172%
as;12;0.721587%
for;12;0.721587%
from;12;0.721587%
had;12;0.721587%
do;11;0.661455%
be;10;0.601323%
but;10;0.601323%
at;9;0.541191%
one;9;0.541191%
are;8;0.481058%
how;8;0.481058%
me;8;0.481058%
up;8;0.481058%
upon;8;0.481058%
who;8;0.481058%
your;8;0.481058%
all;7;0.420926%
been;7;0.420926%
holmes;7;0.420926%
own;7;0.420926%
by;6;0.360794%
paper;6;0.360794%
said;6;0.360794%
see;6;0.360794%
an;5;0.300661%
has;5;0.300661%
into;5;0.300661%
know;5;0.300661%
on;5;0.300661%
seen;5;0.300661%
so;5;0.300661%
there;5;0.300661%
this;5;0.300661%
again;4;0.240529%
eyes;4;0.240529%
him;4;0.240529%
himself;4;0.240529%
little;4;0.240529%
or;4;0.240529%
out;4;0.240529%
remarked;4;0.240529%
t;4;0.240529%
then;4;0.240529%
very;4;0.240529%
were;4;0.240529%
what;4;0.240529%
yet;4;0.240529%
always;3;0.180397%
case;3;0.180397%
could;3;0.180397%
deduce;3;0.180397%
g;3;0.180397%
german;3;0.180397%
her;3;0.180397%
if;3;0.180397%
indeed;3;0.180397%
just;3;0.180397%
man;3;0.180397%
more;3;0.180397%
note;3;0.180397%
now;3;0.180397%
our;3;0.180397%
practice;3;0.180397%
saw;3;0.180397%
she;3;0.180397%
since;3;0.180397%
small;3;0.180397%
some;3;0.180397%
such;3;0.180397%
well;3;0.180397%
woman;3;0.180397%
would;3;0.180397%
account;2;0.120265%
adler;2;0.120265%
answered;2;0.120265%
any;2;0.120265%
armchair;2;0.120265%
baker;2;0.120265%
before;2;0.120265%
bohemia;2;0.120265%
came;2;0.120265%
can;2;0.120265%
chamber;2;0.120265%
cigarette;2;0.120265%
clearing;2;0.120265%
companion;2;0.120265%
country;2;0.120265%
dark;2;0.120265%
data;2;0.120265%
deduction;2;0.120265%
did;2;0.120265%
doubt;2;0.120265%
down;2;0.120265%
drug;2;0.120265%
each;2;0.120265%
emotion;2;0.120265%
every;2;0.120265%
extraordinary;2;0.120265%
facts;2;0.120265%
frequently;2;0.120265%
gentleman;2;0.120265%
good;2;0.120265%
ha;2;0.120265%
half;2;0.120265%
hands;2;0.120265%
hardly;2;0.120265%
heard;2;0.120265%
home;2;0.120265%
imagine;2;0.120265%
interested;2;0.120265%
irene;2;0.120265%
itself;2;0.120265%
keen;2;0.120265%
knew;2;0.120265%
large;2;0.120265%
lately;2;0.120265%
looked;2;0.120265%
make;2;0.120265%
manner;2;0.120265%
many;2;0.120265%
may;2;0.120265%
mind;2;0.120265%
most;2;0.120265%
must;2;0.120265%
name;2;0.120265%
nature;2;0.120265%
night;2;0.120265%
no;2;0.120265%
observe;2;0.120265%
observed;2;0.120265%
other;2;0.120265%
over;2;0.120265%
p;2;0.120265%
particularly;2;0.120265%
powers;2;0.120265%
process;2;0.120265%
quite;2;0.120265%
reasoning;2;0.120265%
right;2;0.120265%
room;2;0.120265%
rooms;2;0.120265%
s;2;0.120265%
seldom;2;0.120265%
seven;2;0.120265%
shown;2;0.120265%
singular;2;0.120265%
stands;2;0.120265%
steps;2;0.120265%
street;2;0.120265%
strong;2;0.120265%
study;2;0.120265%
suit;2;0.120265%
take;2;0.120265%
tell;2;0.120265%
theories;2;0.120265%
these;2;0.120265%
they;2;0.120265%
think;2;0.120265%
those;2;0.120265%
threw;2;0.120265%
time;2;0.120265%
under;2;0.120265%
us;2;0.120265%
watson;2;0.120265%
way;2;0.120265%
we;2;0.120265%
week;2;0.120265%
when;2;0.120265%
where;2;0.120265%
whole;2;0.120265%
word;2;0.120265%
work;2;0.120265%
wrote;2;0.120265%
1888;1;0.0601323%
abandoned;1;0.0601323%
abhorrent;1;0.0601323%
absorb;1;0.0601323%
accomplished;1;0.0601323%
across;1;0.0601323%
actions;1;0.0601323%
active;1;0.0601323%
activity;1;0.0601323%
address;1;0.0601323%
adjusted;1;0.0601323%
admirable;1;0.0601323%
admirably;1;0.0601323%
admit;1;0.0601323%
against;1;0.0601323%
ago;1;0.0601323%
akin;1;0.0601323%
almost;1;0.0601323%
aloud;1;0.0601323%
alternating;1;0.0601323%
am;1;0.0601323%
ambition;1;0.0601323%
amiss;1;0.0601323%
among;1;0.0601323%
appears;1;0.0601323%
around;1;0.0601323%
asked;1;0.0601323%
associated;1;0.0601323%
atkinson;1;0.0601323%
attention;1;0.0601323%
attitude;1;0.0601323%
attracted;1;0.0601323%
away;1;0.0601323%
baffled;1;0.0601323%
balanced;1;0.0601323%
because;1;0.0601323%
begins;1;0.0601323%
behind;1;0.0601323%
being;1;0.0601323%
believe;1;0.0601323%
bell;1;0.0601323%
between;1;0.0601323%
beyond;1;0.0601323%
black;1;0.0601323%
blind;1;0.0601323%
blue;1;0.0601323%
bohemian;1;0.0601323%
books;1;0.0601323%
boot;1;0.0601323%
both;1;0.0601323%
bought;1;0.0601323%
boy;1;0.0601323%
brilliantly;1;0.0601323%
brothers;1;0.0601323%
brown;1;0.0601323%
bulge;1;0.0601323%
buried;1;0.0601323%
burned;1;0.0601323%
call;1;0.0601323%
capital;1;0.0601323%
carefully;1;0.0601323%
careless;1;0.0601323%
carelessly;1;0.0601323%
carlsbad;1;0.0601323%
caused;1;0.0601323%
centred;1;0.0601323%
centuries;1;0.0601323%
certainly;1;0.0601323%
changed;1;0.0601323%
chest;1;0.0601323%
chronicle;1;0.0601323%
chuckled;1;0.0601323%
cigars;1;0.0601323%
civil;1;0.0601323%
clasped;1;0.0601323%
clear;1;0.0601323%
clock;1;0.0601323%
clothes;1;0.0601323%
cloud;1;0.0601323%
clues;1;0.0601323%
clumsy;1;0.0601323%
co;1;0.0601323%
cocaine;1;0.0601323%
cold;1;0.0601323%
